Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	CH	0	0.00612592
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3	100	Song	CA	0	0.00611004
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	BE	0	0.00623249
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	42	100	Song	DK	0	0.14832359
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	MX	0	0.00025284
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	12	100	Song	SK	0	0.04144716
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	BR	0	0.00248302
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	TH	0	0.00242406
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	IT	0	0.00581866
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	BD	0	0.00003855
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	7	100	Song	NL	0	0.01885054
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3	100	Song	GB	0	0.01363732
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	KZ	0	0.00251500
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	4	100	Song	KR	0	0.01605499
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	TZ	0	0.00142100
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	12	100	Song	IN	0	0.00154400
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	EG	0	0.00081700
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	31	100	Song	US	0	0.13791389
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	TW	0	0.00485493
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	5	100	Song	JP	0	0.02313744
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	PH	0	0.00163154
